Station,Name,Month,AvgTemp
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",01 - January,50.6
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",02 - February,54.5
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",03 - March,56.9
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",04 - April,58.4
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",05 - May,60.9
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",06 - June,63.2
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",07 - July,64.3
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",08 - August,65.9
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",09 - September,69.8
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",10 - October,64.2
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",11 - November,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",12 - December,51.9
